# t theta omega E_kin E_pot E_tot
1.33000 -0.68170 1.09579 0.60038 2.19254 2.79292
1.34000 -0.67047 1.15063 0.66197 2.12359 2.78556
1.35000 -0.65869 1.20479 0.72576 2.05233 2.77809
1.36000 -0.64638 1.25823 0.79157 1.97897 2.77054
1.37000 -0.63353 1.31090 0.85924 1.90371 2.76295
1.38000 -0.62016 1.36277 0.92857 1.82678 2.75535
1.39000 -0.60628 1.41377 0.99938 1.74840 2.74778
1.40000 -0.59189 1.46387 1.07146 1.66881 2.74027
1.41000 -0.57701 1.51302 1.14461 1.58824 2.73285
1.42000 -0.56163 1.56116 1.21862 1.50695 2.72557
1.43000 -0.54579 1.60826 1.29325 1.42520 2.71845
1.44000 -0.52947 1.65426 1.36829 1.34325 2.71154
1.45000 -0.51270 1.69912 1.44350 1.26136 2.70486
1.46000 -0.49549 1.74278 1.51863 1.17981 2.69844
1.47000 -0.47785 1.78519 1.59346 1.09887 2.69233
1.48000 -0.45979 1.82632 1.66772 1.01883 2.68655
1.49000 -0.44133 1.86611 1.74118 0.93996 2.68114
1.50000 -0.42248 1.90451 1.81359 0.86253 2.67612
1.51000 -0.40325 1.94149 1.88468 0.78684 2.67152
1.52000 -0.38365 1.97698 1.95422 0.71315 2.66737
1.53000 -0.36371 2.01095 2.02196 0.64174 2.66370
1.54000 -0.34344 2.04335 2.08764 0.57288 2.66052
1.55000 -0.32285 2.07414 2.15104 0.50683 2.65787
1.56000 -0.30196 2.10329 2.21191 0.44385 2.65576
1.57000 -0.28079 2.13074 2.27003 0.38419 2.65421
1.58000 -0.25935 2.15646 2.32517 0.32808 2.65325
1.59000 -0.23767 2.18042 2.37712 0.27576 2.65288
1.60000 -0.21575 2.20258 2.42568 0.22743 2.65312
1.61000 -0.19362 2.22291 2.47067 0.18331 2.65398
1.62000 -0.17130 2.24138 2.51189 0.14357 2.65546
1.63000 -0.14880 2.25796 2.54919 0.10840 2.65759
1.64000 -0.12614 2.27262 2.58241 0.07795 2.66035
1.65000 -0.10335 2.28535 2.61142 0.05235 2.66376
1.66000 -0.08044 2.29612 2.63609 0.03172 2.66782
1.67000 -0.05744 2.30492 2.65633 0.01618 2.67251
1.68000 -0.03435 2.31173 2.67206 0.00579 2.67785
1.69000 -0.01121 2.31655 2.68319 0.00062 2.68381
1.70000 0.01197 2.31935 2.68969 0.00070 2.69040
1.71000 0.03517 2.32014 2.69153 0.00607 2.69759
1.72000 0.05837 2.31891 2.68868 0.01671 2.70539
1.73000 0.08154 2.31567 2.68117 0.03260 2.71377
1.74000 0.10467 2.31042 2.66901 0.05369 2.72271
1.75000 0.12774 2.30316 2.65226 0.07993 2.73220
1.76000 0.15073 2.29390 2.63098 0.11123 2.74221
1.77000 0.17362 2.28265 2.60524 0.14748 2.75272
1.78000 0.19638 2.26943 2.57516 0.18855 2.76371
1.79000 0.21900 2.25426 2.54084 0.23430 2.77515
1.80000 0.24146 2.23715 2.50243 0.28458 2.78701
1.81000 0.26373 2.21813 2.46006 0.33920 2.79926
1.82000 0.28581 2.19723 2.41390 0.39796 2.81187
1.83000 0.30767 2.17446 2.36414 0.46067 2.82481
1.84000 0.32930 2.14986 2.31095 0.52709 2.83804
1.85000 0.35066 2.12346 2.25455 0.59699 2.85154
1.86000 0.37176 2.09530 2.19513 0.67012 2.86526
1.87000 0.39256 2.06540 2.13293 0.74624 2.87917
1.88000 0.41306 2.03380 2.06818 0.82506 2.89324
1.89000 0.43323 2.00055 2.00110 0.90632 2.90742
1.90000 0.45307 1.96568 1.93194 0.98974 2.92168
1.91000 0.47254 1.92922 1.86095 1.07504 2.93599
1.92000 0.49165 1.89123 1.78838 1.16193 2.95031
1.93000 0.51036 1.85175 1.71448 1.25011 2.96460
1.94000 0.52868 1.81081 1.63951 1.33931 2.97882
